TxnID,token,TransactionType,amount,SenderID,PrevBalanceSender,CurrentBalanceSender,ReceiverID,PrevBalanceReceiver,CurrentBalanceReceiver,time,Sender Location,Receiver Location,IsSuspicious,
31977534500,578,Money Order,152372.18,UR37274825203,152372.18,0,UR36830343138,0,0,10-06-2019 02:23,Danville - Pennsylvania,Lumberton - Mississippi,1,15
56227886005,393,Money Order,1539880.97,UR34091506450,530514,0,UR15881981982,744923.33,2284804.29,02-06-2019 09:19,North Java - New York,Falmouth - Kentucky,0,26
15960169749,258,Cash Deposit,71514.14,UR25461871663,28044,99558.14,UR33481636683,81922.25,10408.12,27-05-2019 18:19,Petersburg - Illinois,Ledbetter - Texas,0,51
42677949513,570,Money Order,3712.11,UR36082311467,3712.11,0,UR30655051211,NA,0,09-06-2019 18:19,Danville - Pennsylvania,Lumberton - Mississippi,1,13
23358983694,43,Cash Deposit,65913.36,UR34002111532,124336.14,190249.49,UR41907390101,336237.28,270323.92,18-05-2019 19:02,Trenton - Michigan,Lake Hubert - Minnesota,0,99
68519159329,178,Cash Deposit,8785.84,UR12872519699,11924687.58,11933473.42,UR18743619563,2025093.96,2016308.11,24-05-2019 10:37,Sedgwick - Kansas,Barker - Texas,0,27
43246507782,188,Cash Withdrawal,19396.33,UR21491149598,0,0,UR33785234157,66066.6,85462.94,24-05-2019 20:13,Rio Medina - Texas,Paradise - Pennsylvania,0,23
19374613613,156,Cash Withdrawal,445674.17,UR35888861024,0,0,UR13198230388,516289.23,965735.07,23-05-2019 12:43,NA,Humacao - Puerto Rico,0,51
67221442337,254,Cash Withdrawal,60275.97,UR12393635687,21318,0,UR42808174219,12979.08,73255.05,27-05-2019 14:04,Ivy - Virginia,East Otis - Massachusetts,0,89
44430603796,330,Cash Withdrawal,382935.26,UR40794260104,500,0,UR16424345394,0,382935.26,30-05-2019 18:04,Washington - Washington - D.C.,Mc Gregor - Texas,0,53
54265937865,227,Cash Withdrawal,267765.4,UR26452356617,11239,0,UR34454181483,846138.87,1113904.26,26-05-2019 11:40,Mississippi State - Mississippi,Suitland - Maryland,0,14
17205335804,401,Cash Deposit,220976.28,UR23660779974,15674,236650.28,UR36957497537,447200.7,73108.91,02-06-2019 17:32,Barrington - Illinois,Westwego - Louisiana,0,73
30089143159,321,Card,23891.36,UR36138920211,0,0,UR17885727602,0,0,30-05-2019 09:30,Forest Grove - Oregon,Meadowlands - Minnesota,0,49
69583388510,448,Cash Deposit,18329.18,UR29607877619,25646,43975.18,UR28504301522,4861531.11,4843201.93,04-06-2019 16:57,Neshanic Station - New Jersey,Paragon - Indiana,0,18
17529057230,331,Cash Withdrawal,96753.87,UR22931069576,0,0,UR32438414439,349984.41,446738.28,30-05-2019 19:20,Apple Valley - California,Long Beach - New York,0,44
41290823346,369,Card,1884.78,UR38560520923,0,0,UR19005446893,0,0,01-06-2019 09:05,Lakewood - New Mexico,Palmdale - Florida,0,23
8591253949,165,Card,13433.07,UR30446272367,0,0,UR42856692574,0,0,23-05-2019 21:05,Wellington - Nevada,Bartley - Nebraska,0,78
7801945412,47,Card,1717.83,UR12375829294,15232,13514.17,UR35164149376,0,0,18-05-2019 23:38,Raleigh - North Carolina,Twin Peaks - California,0,84
70344589584,10,Cash Withdrawal,95844.43,UR32432289956,0,0,UR37276732068,522774.66,618619.09,17-05-2019 10:44,Effie - Minnesota,Paso Robles - California,0,28
63064833206,274,Card,42749.89,UR33533796022,0,0,UR14256298234,0,0,28-05-2019 10:04,Martins Ferry - Ohio,Starkville - Mississippi,0,80
70737322081,18,Cash Withdrawal,240195.46,UR25084368997,243686.75,3491.29,UR23478485395,1075442.36,1315637.82,17-05-2019 18:11,Wolcottville - Indiana,Buckner - Kentucky,0,88
31021841811,131,Card,21584.9,UR36545363589,33785,12200.1,UR22328972835,0,0,22-05-2019 11:47,Danbury - New Hampshire,Coudersport - Pennsylvania,0,19
3013757751,204,Cash Deposit,216757.44,UR33751085559,105539,322296.44,UR19266336764,0,0,25-05-2019 12:36,Hamer - South Carolina,Ripley - West Virginia,0,84
15151208726,185,Cash Withdrawal,16799.47,UR35878701121,0,0,UR39661378650,158122.04,294989.58,24-05-2019 17:26,NA,Lawai - Hawaii,0,13
58248942085,280,Cash Deposit,63938.1,UR39210883524,7493301.11,7557239.21,UR40299536250,3094625.36,3030687.27,28-05-2019 16:19,Bostwick - Georgia,Oxbow - New York,0,26
21284632515,234,Card,19667.29,UR16299446985,221,0,UR39538828788,0,0,26-05-2019 18:33,Banner - Wyoming,Port Townsend - Washington,0,37
57345548411,140,Cash Deposit,147637.99,UR25415848112,20712,168349.99,UR39459909820,617815.77,470177.78,22-05-2019 20:12,Lexington - North Carolina,Belington - West Virginia,0,85
53122645251,181,Money Order,344821.99,UR41133848874,0,0,UR28599267859,966169.93,1310991.93,24-05-2019 13:29,Longmire - Washington,China - Texas,0,87
68369685207,330,Cash Withdrawal,448675.24,UR19053596828,0,0,UR42050712509,1920472.93,2369148.17,30-05-2019 18:35,Maryland - New York,Conway Springs - Kansas,0,32
13482947179,259,Cash Withdrawal,28159.72,UR13572554212,12544,0,UR20248344575,0,28159.72,27-05-2019 19:39,Mahanoy City - Pennsylvania,Ridgeway - Virginia,0,48
